code,system
A151.00,readv2
A170200,readv2
A178.00,readv2
A165000,readv2
A173.00,readv2
65Y9.11,readv2
A17y200,readv2
A1z..00,readv2
A173z00,readv2
A150.00,readv2
N304300,readv2
A111.00,readv2
A17y300,readv2
A152.00,readv2
A174.00,readv2
A177.00,readv2
Ayu1.00,readv2
A170600,readv2
A112.00,readv2
A1...00,readv2
A110.00,readv2
A170000,readv2
A170300,readv2
A164.00,readv2
A120000,readv2
K214300,readv2
A165100,readv2
A11..11,readv2
A17y000,readv2
A17y400,readv2
65Y1.00,readv2
A12y100,readv2
A17y100,readv2
A14y400,readv2
A12y000,readv2
A161.00,readv2
1411.00,readv2
65Y9.00,readv2
A160.11,readv2
A162.00,readv2
A170700,readv2
A170100,readv2
4256.0,readv2
67292.0,readv2
97922.0,readv2
45318.0,readv2
99925.0,readv2
6553.0,readv2
56771.0,readv2
59916.0,readv2
96477.0,readv2
66441.0,readv2
93360.0,readv2
62468.0,readv2
65464.0,readv2
72680.0,readv2
91666.0,readv2
38110.0,readv2
97778.0,readv2
16582.0,readv2
73549.0,readv2
18950.0,readv2
48580.0,readv2
31445.0,readv2
58588.0,readv2
23940.0,readv2
16331.0,readv2
24372.0,readv2
35760.0,readv2
38342.0,readv2
65994.0,readv2
46802.0,readv2
53701.0,readv2
39279.0,readv2
19652.0,readv2
43370.0,readv2
55957.0,readv2
50902.0,readv2
44129.0,readv2
24626.0,readv2
69322.0,readv2
50837.0,readv2
37598.0,readv2
31436.0,readv2
15693.0,readv2
37886.0,readv2
73149.0,readv2
45861.0,readv2
93015.0,readv2
49503.0,readv2
30358.0,readv2
53331.0,readv2
61442.0,readv2
43791.0,readv2
46039.0,readv2
57587.0,readv2
50261.0,readv2
73590.0,readv2
16741.0,readv2
47016.0,readv2
15158.0,readv2
46926.0,readv2
54908.0,readv2
32899.0,readv2
22572.0,readv2
42630.0,readv2
12448.0,readv2
4247.0,readv2
55835.0,readv2
97325.0,readv2
27611.0,readv2
31409.0,readv2
47832.0,readv2
3273.0,readv2
60040.0,readv2
62963.0,readv2
99305.0,readv2
32459.0,readv2
96668.0,readv2
68973.0,readv2
29482.0,readv2
70911.0,readv2
52272.0,readv2
97588.0,readv2
42201.0,readv2
3720.0,readv2
71138.0,readv2
46044.0,readv2
37492.0,readv2
57398.0,readv2
27399.0,readv2
58673.0,readv2
69260.0,readv2
26344.0,readv2
62530.0,readv2
97525.0,readv2
635.0,readv2
99914.0,readv2
12338.0,readv2
30945.0,readv2
54579.0,readv2
47336.0,readv2
93071.0,readv2
67601.0,readv2
34657.0,readv2
62033.0,readv2
11975.0,readv2
68821.0,readv2
46675.0,readv2
94249.0,readv2
31349.0,readv2
41383.0,readv2
40990.0,readv2
35443.0,readv2
14913.0,readv2
72008.0,readv2
53548.0,readv2
37422.0,readv2
40605.0,readv2
51110.0,readv2
47430.0,readv2
49235.0,readv2
53473.0,readv2
70862.0,readv2
106837.0,readv2
55298.0,readv2
39512.0,readv2
97658.0,readv2
46727.0,readv2
99783.0,readv2
37834.0,readv2
3303.0,readv2
63959.0,readv2
69471.0,readv2
30687.0,readv2
57466.0,readv2
46383.0,readv2
95332.0,readv2
55629.0,readv2
72743.0,readv2
7133.0,readv2
23962.0,readv2
44573.0,readv2
105288.0,readv2
45932.0,readv2
63796.0,readv2
5145.0,readv2
37694.0,readv2
56890.0,readv2
44655.0,readv2
47881.0,readv2
22011.0,readv2
16996.0,readv2
102673.0,readv2
2208.0,readv2
11976.0,readv2
46147.0,readv2
57417.0,readv2
24517.0,readv2
34640.0,readv2
67637.0,readv2
49112.0,readv2
4621.0,readv2
70293.0,readv2
3830.0,readv2
59202.0,readv2
58827.0,readv2
4907.0,readv2
33372.0,readv2
50147.0,readv2
63351.0,readv2
49433.0,readv2
32180.0,readv2
17153.0,readv2
54840.0,readv2
23472.0,readv2
20333.0,readv2
73225.0,readv2
56833.0,readv2
66584.0,readv2
54570.0,readv2
37329.0,readv2
31670.0,readv2
69154.0,readv2
59087.0,readv2
56670.0,readv2
40522.0,readv2
16265.0,readv2
91847.0,readv2
29395.0,readv2
31680.0,readv2
73273.0,readv2
50489.0,readv2
49481.0,readv2
16367.0,readv2
46019.0,readv2
9953.0,readv2
106521.0,readv2
41208.0,readv2
95913.0,readv2
99593.0,readv2
41051.0,readv2
2193.0,readv2
73185.0,readv2
24413.0,readv2
57126.0,readv2
52199.0,readv2
43976.0,readv2
70140.0,readv2
3596.0,readv2
34430.0,readv2
40231.0,readv2
93948.0,readv2
50869.0,readv2
109312.0,readv2
46272.0,readv2
31844.0,readv2
23451.0,readv2
38920.0,readv2
72072.0,readv2
68154.0,readv2
42479.0,readv2
70491.0,readv2
44039.0,readv2
16414.0,readv2
53864.0,readv2
5101.0,readv2
72402.0,readv2
44128.0,readv2
66976.0,readv2
1840.0,readv2
67337.0,readv2
A167.00,readv2
A165.00,readv2
A167z00,readv2
Q402400,readv2
A165z00,readv2
P37.0,readv2
A120200,readv2
A172200,readv2
A15..12,readv2
J550200,readv2
A166000,readv2
G520600,readv2
A116.00,readv2
A120100,readv2
A15..11,readv2
A100.00,readv2
A140.00,readv2
F040600,readv2
A154.00,readv2
A131.00,readv2
A123.00,readv2
A172100,readv2
A10..00,readv2
A167000,readv2
A114.00,readv2
A166111,readv2
A170.11,readv2
A117.00,readv2
A172011,readv2
F033311,readv2
A130300,readv2
Ayu1100,readv2
A173000,readv2
A136000,readv2
A160000,readv2
A120z00,readv2
A120.00,readv2
A167100,readv2
A173400,readv2
A173300,readv2
A115.00,readv2
A173100,readv2
A172000,readv2
A153.00,readv2
A160200,readv2
A10z.00,readv2
N018.00,readv2
A15..13,readv2
M01.1,readv2
K67.3,readv2
K23.0,readv2
N74.0,readv2
A124200,readv2
A124.00,readv2
Ayu1000,readv2
A124300,readv2
A16,readv2
A15,readv2
Ayu1400,readv2
A17,readv2
A14..00,readv2
K93.0,readv2
A18..00,readv2
A18z.00,readv2
Ayu1800,readv2
A19,readv2
AyuJ400,readv2
AyuJ200,readv2
B90,readv2
N304000,readv2
ZV12A00,readv2
A10y.00,readv2
A101.00,readv2
ZV12B00,readv2
N304.11,readv2
N304.00,readv2
N304200,readv2
M49.0,readv2
A14yz00,readv2
A165200,readv2
A14z.00,readv2
A14y.00,readv2
N306100,readv2
N305100,readv2
N305400,readv2
N306400,readv2
N306300,readv2
N305200,readv2
N306200,readv2
A12..00,readv2
14P9.00,readv2
100469.0,readv2
63172.0,readv2
18206.0,readv2
9158.0,readv2
93768.0,readv2
5319.0,readv2
106978.0,readv2
A11y.00,readv2
A11..00,readv2
A11z.00,readv2
Ayu1300,readv2
A124600,readv2
A125X00,readv2
F4A5500,readv2
A173200,readv2
Ayu1600,readv2
Ayu1900,readv2
A15x.00,readv2
A12y.00,readv2
A12yz00,readv2
A18y.00,readv2
N306000,readv2
A180000,readv2
A1y..00,readv2
A17yz00,readv2
N305000,readv2
A17y.00,readv2
A134.00,readv2
A135.00,readv2
A130100,readv2
F041300,readv2
A16..00,readv2
A163.00,readv2
A16z.00,readv2
A168.00,readv2
AE02.00,readv2
A13..00,readv2
A13z.00,readv2
A13y.00,readv2
A121.00,readv2
N304100,readv2
A121z00,readv2
A121200,readv2
A122z00,readv2
A122100,readv2
A122.00,readv2
A12y200,readv2
A12y300,readv2
A124400,readv2
A125.00,readv2
A124700,readv2
B20.0,readv2
A121100,readv2
A121000,readv2
A14y500,readv2
A130.00,readv2
A130z00,readv2
F004.00,readv2
A171000,readv2
A171.00,readv2
65V9.11,readv2
65V9.00,readv2
A172.00,readv2
A172z00,readv2
A170.00,readv2
A170z00,readv2
G500311,readv2
G500300,readv2
A136100,readv2
A136z00,readv2
A160100,readv2
A136.00,readv2
A171100,readv2
A171z00,readv2
A132.00,readv2
A133.00,readv2
N306z00,readv2
N305.00,readv2
N306.00,readv2
N305500,readv2
M90.0,readv2
A14y100,readv2
A14y200,readv2
A15z.00,readv2
A15y.00,readv2
A15..00,readv2
A176.00,readv2
A175.00,readv2
AE0z.00,readv2
AE04.00,readv2
AE0..00,readv2
AE03.00,readv2
AE01.00,readv2
AE00.00,readv2
A170500,readv2
A170800,readv2
A113.00,readv2
A124500,readv2
65Y2.00,readv2
65Y8.00,readv2
65Y5.00,readv2
A130000,readv2
A124100,readv2
A124000,readv2
N306500,readv2
A180100,readv2
A125000,readv2
A125100,readv2
A125200,readv2
F033300,readv2
A160z00,readv2
A160.00,readv2
A180.00,readv2
H450.00,readv2
J65,readv2
A166.00,readv2
A166z00,readv2
A166100,readv2
A17..00,readv2
A17z.00,readv2
A18,readv2
A122000,readv2
K43..00,readv2
N74.1,readv2
8BAD100,readv2
N305300,readv2
K154800,readv2
N33.0,readv2
A14y300,readv2